observable,time,time_units,average,stderr,amount_units,expt_id
Furfural_Obs,1.5,hr,1.07,0.107,mM,160C
Furfural_Obs,2,hr,2.53,0.253,mM,160C
Furfural_Obs,2.5,hr,3.98,0.398,mM,160C
Furfural_Obs,4,hr,7.19,0.719,mM,160C
Furfural_Obs,6,hr,9.95,0.995,mM,160C
Furfural_Obs,8,hr,11.83,1.183,mM,160C
Furfural_Obs,12,hr,11.09,1.109,mM,160C
Furfural_Obs,16,hr,10.68,1.068,mM,160C
HMF_Obs,0.5,hr,0.94,0.094,mM,160C
HMF_Obs,1,hr,1.47,0.147,mM,160C
HMF_Obs,1.5,hr,2.26,0.226,mM,160C
HMF_Obs,2,hr,4.05,0.405,mM,160C
HMF_Obs,2.5,hr,3.81,0.381,mM,160C
HMF_Obs,4,hr,4.87,0.487,mM,160C
HMF_Obs,6,hr,3.29,0.329,mM,160C
HMF_Obs,8,hr,2.01,0.201,mM,160C
LA_Obs,0.5,hr,6.11,0.611,mM,160C
LA_Obs,1,hr,9.42,0.942,mM,160C
LA_Obs,1.5,hr,18.18,1.818,mM,160C
LA_Obs,2,hr,20.38,2.038,mM,160C
LA_Obs,2.5,hr,24.19,2.419,mM,160C
LA_Obs,4,hr,26.72,2.672,mM,160C
LA_Obs,6,hr,32.84,3.284,mM,160C
LA_Obs,8,hr,33.42,3.342,mM,160C
LA_Obs,12,hr,32.12,3.212,mM,160C
LA_Obs,16,hr,31.19,3.119,mM,160C
